	Floricourt_Dorat (Liaisons_Laclos)	Boudoir_Sade	Aline_Sade	Monde_Prevost	Fataliste_Diderot	Fils_Diderot	Religieuse_Diderot	Supplement_Diderot	Moraux_Marmontel	Emile_Rousseau	Julie_Rousseau	Adele_Genlis	Amours_Couvray	Belisaire_Marmontel	Incas_Marmontel	L'An_Mercier	Fanni_Riccoboni	Moraux_Mercier	Vertueuse_Retif	Fanchette_Retif	Perverti_Retif	Pervertie_Retif	Caliste_Charriere	Micromegas_Voltaire	Candide_Voltaire	Diable_Cazotte	Contemporaines_Retif	Françaises_Retif	Parisiennes_Retif	Nuit_Crebillon	Femme_Marmontel	Saisons_Saint-Lambert	Chaumiere_Bernardin	L'Emigre_Meilhan	Coelina_Pixerecourt	Voyage_Maistre	Chevaliers_Genlis	Pauliska_Saint-Cyr	Victor_Ducray-Duminil	Adele_Souza	Claire_Cottin	Justine_Sade	Juliette_Sade	Prince_Gouges	Crimes_Sade	L'Anti-Justine_Retif	L'Ingenu_Voltaire	Ecus_Voltaire	Jenni_Voltaire	Nuits_Retif	Vie_Retif	Menage_Retif	Emilie_Couvray	Naufrage_Morelly	Princesse_Voltaire	Rideau_Mirabeau	Galatee_Florian	Lucile_Retif
Juliette_Sade (Q2592)	0	13	2	3	0	1	2	1	5	4	2	34	1	2	4	2	4	1	1	1	1	6	2	3	14	23	2	1	1	1	1	1	2	1	5	3	3	1	1	1	1	1	7	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0
Prince_Gouges (Q2458)	0	4	1	1	0	1	2	1	5	4	2	2	1	1	2	2	3	1	1	1	1	3	1	3	1	1	2	1	1	1	1	1	2	1	3	3	1	1	1	1	1	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Crimes_Sade (Q1137)	0	6	2	1	0	3	2	2	5	4	2	5	1	1	2	2	4	1	1	1	1	4	1	3	3	6	3	1	1	1	1	1	2	1	3	3	1	1	1	1	1	1	2	1	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0
L'Anti-Justine_Retif (Q1093)	0	2	0	1	0	1	0	0	1	0	2	5	0	1	3	1	1	1	0	0	0	3	1	1	1	2	1	0	0	0	0	0	0	0	2	0	1	1	1	1	1	1	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
L'Ingenu_Voltaire (Q1985932)	0	2	1	0	0	21	1	2	0	0	6	6	0	0	0	0	1	0	0	0	0	1	0	0	20	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	6	1	0	0	0	1	1	1	1	0
Ecus_Voltaire (Q1035)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0
Jenni_Voltaire (Q1892)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0
Nuits_Retif (Q2495)	0	6	1	0	0	16	0	17	4	4	0	41	0	0	4	0	1	0	0	0	0	9	4	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	4	4	0	1	1	1	1	0
Vie_Retif (Q2000)	0	4	0	0	0	14	0	16	4	4	0	38	0	0	4	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0
Menage_Retif (Q1835)	0	4	0	0	0	14	0	16	4	4	0	38	0	0	4	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0
Emilie_Couvray (Q2440)	0	1	0	1	0	0	0	0	0	0	0	3	0	1	2	0	1	0	0	0	0	3	1	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Naufrage_Morelly (Q1012)	0	2	1	0	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	0
Princesse_Voltaire (Q1668)	0	2	1	0	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	1	0
Rideau_Mirabeau (Q1069)	0	2	1	0	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	0
Galatee_Florian (Q1057)	0	2	1	0	0	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	2	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0
Lucile_Retif (Q1663)	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
